kode,string
16,"PDRB jenis produksi menyumbang PDRB ke 34 Provinsi, yaitu Aceh, Sumatera Utara, Sumatera Barat, Riau, Jambi, Sumatera Selatan, Bengkulu, Lampung, Kep. Bangka Belitung, Kep. Riau, DKI Jakarta, Jawa Barat, Jawa Tengah, DI Yogyakarta, Jawa Timur, Banten, Bali, Nusa Tenggara Barat, Nusa Tenggara Timur, Kalimantan Barat, Kalimantan Tengah, Kalimantan Selatan, Kalimantan Timur, Kalimantan Utara, Sulawesi Utara, Sulawesi Tengah, Sulawesi Selatan, Sulawesi Tenggara, Gorontalo, Sulawesi Barat, Maluku, Maluku Utara, Papua Barat, Papua"
17,Total PDRB Provinsi Aceh adalah Rp 449.637.997.076.607
18,Total PDRB Provinsi Bali adalah Rp 583.614.791.566.123
19,Total PDRB Provinsi Banten adalah Rp 1.784.174.048.427.313
20,Total PDRB Provinsi Bengkulu adalah Rp 181.494.343.521.734
21,Total PDRB Provinsi DI Yogyakarta adalah Rp 385.300.055.030.495
22,Total PDRB Provinsi DKI Jakarta adalah Rp 6.669.276.689.240.737
23,Total PDRB Provinsi Gorontalo adalah Rp 99.449.343.222.758
24,Total PDRB Provinsi Jambi adalah Rp 416.363.119.208.297
25,Total PDRB Provinsi Jawa Barat adalah Rp 5.578.549.271.478.041
26,Total PDRB Provinsi Jawa Tengah adalah Rp 3.214.132.708.769.714
27,Total PDRB Provinsi Jawa Timur adalah Rp 5.453.138.611.781.976
28,Total PDRB Provinsi Kalimantan Barat adalah Rp 440.370.778.362.853
29,Total PDRB Provinsi Kalimantan Selatan adalah Rp 469.097.137.489.610
30,Total PDRB Provinsi Kalimantan Tengah adalah Rp 357.393.724.510.750
31,Total PDRB Provinsi Kalimantan Timur adalah Rp 1.261.618.663.302.987
32,Total PDRB Provinsi Kalimantan Utara adalah Rp 182.292.915.114.975
33,Total PDRB Provinsi Kep. Bangka Belitung adalah Rp 192.460.083.231.301
34,Total PDRB Provinsi Kep. Riau adalah Rp 608.810.001.270.459
35,Total PDRB Provinsi Lampung adalah Rp 797.891.803.956.676
36,Total PDRB Provinsi Maluku adalah Rp 152.200.219.537.285
37,Total PDRB Provinsi Maluku Utara adalah Rp 108.872.179.915.539
38,Total PDRB Provinsi Nusa Tenggara Barat adalah Rp 376.724.848.756.804
39,Total PDRB Provinsi Nusa Tenggara Timur adalah Rp 298.466.277.968.634
40,Total PDRB Provinsi Papua adalah Rp 459.599.088.129.638
41,Total PDRB Provinsi Papua Barat adalah Rp 187.279.199.205.971
42,Total PDRB Provinsi Riau adalah Rp 1.504.246.464.380.315
43,Total PDRB Provinsi Sulawesi Barat adalah Rp 101.022.428.295.642
44,Total PDRB Provinsi Sulawesi Selatan adalah Rp 1.132.298.547.369.829
45,Total PDRB Provinsi Sulawesi Tengah adalah Rp 355.135.212.369.549
46,Total PDRB Provinsi Sulawesi Tenggara adalah Rp 281.833.086.039.802
47,Total PDRB Provinsi Sulawesi Utara adalah Rp 329.996.138.188.697
48,Total PDRB Provinsi Sumatera Barat adalah Rp 581.293.873.483.321
49,Total PDRB Provinsi Sumatera Selatan adalah Rp 1.181.239.507.015.954
50,Total PDRB Provinsi Sumatera Utara adalah Rp 1.697.117.012.350.340
51,"Provinsi Aceh memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
52,"Provinsi Bali memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
53,"Provinsi Banten memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
54,"Provinsi Bengkulu memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
55,"Provinsi DI Yogyakarta memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
56,"Provinsi DKI Jakarta memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
57,"Provinsi Gorontalo memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
58,"Provinsi Jambi memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
59,"Provinsi Jawa Barat memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
60,"Provinsi Jawa Tengah memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
61,"Provinsi Jawa Timur memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
62,"Provinsi Kalimantan Barat memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
63,"Provinsi Kalimantan Selatan memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
64,"Provinsi Kalimantan Tengah memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
65,"Provinsi Kalimantan Timur memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
66,"Provinsi Kalimantan Utara memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
67,"Provinsi Kep. Bangka Belitung memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
68,"Provinsi Kep. Riau memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
69,"Provinsi Lampung memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
70,"Provinsi Maluku memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
71,"Provinsi Maluku Utara memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
72,"Provinsi Nusa Tenggara Barat memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
73,"Provinsi Nusa Tenggara Timur memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
74,"Provinsi Papua memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
75,"Provinsi Papua Barat memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
76,"Provinsi Riau memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
77,"Provinsi Sulawesi Barat memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
78,"Provinsi Sulawesi Selatan memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
79,"Provinsi Sulawesi Tengah memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
80,"Provinsi Sulawesi Tenggara memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
81,"Provinsi Sulawesi Utara memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
82,"Provinsi Sumatera Barat memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
83,"Provinsi Sumatera Selatan memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
84,"Provinsi Sumatera Utara memiliki 3 jenis sumber PDRB, yaitu dari produksi, pengeluaran, pendapatan "
85,"PDRB Provinsi Aceh berasal dari 58 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
86,"PDRB Provinsi Bali berasal dari 54 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-11, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
87,"PDRB Provinsi Banten berasal dari 59 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
88,"PDRB Provinsi Bengkulu berasal dari 55 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-09, i-10, i-11, i-13, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
89,"PDRB Provinsi DI Yogyakarta berasal dari 56 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
90,"PDRB Provinsi DKI Jakarta berasal dari 54 komponen dengan kode i-01, i-02, i-04, i-05, i-07, i-08, i-12, i-13, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
91,"PDRB Provinsi Gorontalo berasal dari 56 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-10, i-11, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
92,"PDRB Provinsi Jambi berasal dari 59 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
93,"PDRB Provinsi Jawa Barat berasal dari 59 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
94,"PDRB Provinsi Jawa Tengah berasal dari 58 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
95,"PDRB Provinsi Jawa Timur berasal dari 59 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
96,"PDRB Provinsi Kalimantan Barat berasal dari 56 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-09, i-10, i-11, i-13, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
97,"PDRB Provinsi Kalimantan Selatan berasal dari 56 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-13, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
98,"PDRB Provinsi Kalimantan Tengah berasal dari 57 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-13, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
99,"PDRB Provinsi Kalimantan Timur berasal dari 57 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
100,"PDRB Provinsi Kalimantan Utara berasal dari 56 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-13, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
101,"PDRB Provinsi Kep. Bangka Belitung berasal dari 54 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-10, i-11, i-13, i-15, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
102,"PDRB Provinsi Kep. Riau berasal dari 58 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
103,"PDRB Provinsi Lampung berasal dari 59 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-34, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
104,"PDRB Provinsi Maluku berasal dari 55 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-10, i-11, i-13, i-15, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
105,"PDRB Provinsi Maluku Utara berasal dari 54 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-10, i-11, i-13, i-15, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
106,"PDRB Provinsi Nusa Tenggara Barat berasal dari 56 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-10, i-11, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
107,"PDRB Provinsi Nusa Tenggara Timur berasal dari 55 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-10, i-11, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-23, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
108,"PDRB Provinsi Papua berasal dari 53 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-10, i-11, i-13, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-23, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
109,"PDRB Provinsi Papua Barat berasal dari 55 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-10, i-11, i-12, i-13, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-23, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
110,"PDRB Provinsi Riau berasal dari 59 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
111,"PDRB Provinsi Sulawesi Barat berasal dari 52 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-11, i-13, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-23, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
112,"PDRB Provinsi Sulawesi Selatan berasal dari 58 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-09, i-10, i-11, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
113,"PDRB Provinsi Sulawesi Tengah berasal dari 57 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-08, i-10, i-11, i-12, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
114,"PDRB Provinsi Sulawesi Tenggara berasal dari 56 komponen dengan kode i-01, i-02, i-03, i-04, i-05, i-06, i-07, i-10, i-11, i-13, i-14, i-15, i-16, i-17, i-18, i-19, i-20, i-21, i-22, i-23, i-24, i-25, i-26, i-27, i-28, i-29, i-30, i-31, i-32, i-33, i-35, i-36, i-37, i-38, i-39, i-40, i-41, i-42, i-43, i-44, i-45, i-46, i-47, i-48, i-49, i-50, i-51, i-52, 3011, 3012, 3020, 3030, 3041, 2010, 2020, 2045 "
